trade_leg_key,trade_key,source_leg_strip_cd,trade_txn_cd,trade_txn_key,period_start_date,period_end_date,refreshed_dt,commodity_id,buy_sell_ind,legal_agreement_3_key,legal_agreement_4_key,legal_agreement_5_key,gtc_legal_agreement_key,netting_3_flag,netting_4_flag,netting_5_flag,chain_key,csa_ind,derivative_product_cd,credit_rights_amd_ind,pay_price,pay_price_uom_cd,pay_price_currency_cd,pay_start_dt,pay_end_dt,pay_calendar_cd,pay_trade_event_cd,pay_from_after_ind,pay_offset_month_cd,pay_sett_on_day_of_mth_num,pay_offset_from_event,pay_split_pre_next_ind,pay_split_pre_next_adt,pay_cal_work_day_ind,pay_fixed_settlement_dt,pay_fixed_settlement_adt,pay_pricing_term_cd,pay_curve_key,receive_price,receive_currency_cd,receive_uom_cd,receive_start_dt,receive_end_dt,receive_curve_key,receive_pricing_term_cd,contract_quantity_amt,contract_quantity_uom_cd,valuation_quantity_amt,valuation_quantity_uom_cd,mtm_value_amt,mtm_value_currency_cd,settlement_value_amt,settlement_value_currency_cd,payment_due_date,price_settle_frequency_cd,invoice_dt,return_exposure_ind,no_exp_return_reason_cd,src_leg_last_updt_dtm,payment_security_cd,source_valuation_dt,create_dtm,last_updt_dtm,create_user_id,update_user_id,delete_flag,indexing_basis_cd,deal_formula_txt,market_formula_txt,chain_number
491214078,175054590,1,A180001506_1,027_A180001506_1,2022-01-04T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,82,USD,BBL,2022-01-04T00:00:00.000+0000,2022-01-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1291550,USD,-1291550,USD,2022-02-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:20.000+0000,2018-02-07T03:53:32.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214082,175054590,2,A180001506_2,027_A180001506_2,2022-02-01T00:00:00.000+0000,2022-02-28T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,81,USD,BBL,2022-02-01T00:00:00.000+0000,2022-02-28T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1252650,USD,-1252650,USD,2022-03-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:51.000+0000,2018-02-07T03:53:32.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214084,175054590,3,A180001506_3,027_A180001506_3,2022-03-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,81,USD,BBL,2022-03-01T00:00:00.000+0000,2022-03-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1215950,USD,-1215950,USD,2022-04-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:14.000+0000,2018-02-07T03:53:32.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214087,175054591,1,A180001507_1,027_A180001507_1,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,80,USD,BBL,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1185250,USD,-1185250,USD,2022-05-13T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:19.000+0000,2018-02-07T03:53:32.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214089,175054591,2,A180001507_2,027_A180001507_2,2022-05-02T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,79,USD,BBL,2022-05-02T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1150500,USD,-1150500,USD,2022-06-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:48.000+0000,2018-02-07T03:53:32.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214091,175054591,3,A180001507_3,027_A180001507_3,2022-06-01T00:00:00.000+0000,2022-06-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,79,USD,BBL,2022-06-01T00:00:00.000+0000,2022-06-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1117500,USD,-1117500,USD,2022-07-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:15:49.000+0000,2018-02-07T03:53:32.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214094,175054606,1,A180001568_1,027_A180001568_1,2022-07-01T00:00:00.000+0000,2022-07-29T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,78,USD,BBL,2022-07-01T00:00:00.000+0000,2022-07-29T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1090450,USD,-1090450,USD,2022-08-15T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:19.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214097,175054606,2,A180001568_2,027_A180001568_2,2022-08-01T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,77,USD,BBL,2022-08-01T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1058150,USD,-1058150,USD,2022-09-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:40.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214100,175054606,3,A180001568_3,027_A180001568_3,2022-09-01T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,77,USD,BBL,2022-09-01T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1026600,USD,-1026600,USD,2022-10-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:39.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214102,175054607,1,A180001569_1,027_A180001569_1,2022-07-01T00:00:00.000+0000,2022-07-29T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,78,USD,BBL,2022-07-01T00:00:00.000+0000,2022-07-29T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1095450,USD,-1095450,USD,2022-08-15T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:07.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214105,175054607,2,A180001569_2,027_A180001569_2,2022-08-01T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,77,USD,BBL,2022-08-01T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1063150,USD,-1063150,USD,2022-09-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:23.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214108,175054607,3,A180001569_3,027_A180001569_3,2022-09-01T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,77,USD,BBL,2022-09-01T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1031600,USD,-1031600,USD,2022-10-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:27.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214110,175054608,1,A180001570_1,027_A180001570_1,2022-10-03T00:00:00.000+0000,2022-10-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,76,USD,BBL,2022-10-03T00:00:00.000+0000,2022-10-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-996000,USD,-996000,USD,2022-11-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:57.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214114,175054608,2,A180001570_2,027_A180001570_2,2022-11-01T00:00:00.000+0000,2022-11-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,75,USD,BBL,2022-11-01T00:00:00.000+0000,2022-11-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-965200,USD,-965200,USD,2022-12-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:17:03.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214116,175054608,3,A180001570_3,027_A180001570_3,2022-12-01T00:00:00.000+0000,2022-12-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,75,USD,BBL,2022-12-01T00:00:00.000+0000,2022-12-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-935000,USD,-935000,USD,2023-01-13T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:17:10.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214119,175054609,1,A180001572_1,027_A180001572_1,2022-10-03T00:00:00.000+0000,2022-10-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,76,USD,BBL,2022-10-03T00:00:00.000+0000,2022-10-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1001000,USD,-1001000,USD,2022-11-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:45.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214122,175054609,2,A180001572_2,027_A180001572_2,2022-11-01T00:00:00.000+0000,2022-11-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,75,USD,BBL,2022-11-01T00:00:00.000+0000,2022-11-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-970200,USD,-970200,USD,2022-12-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:26.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214124,175054609,3,A180001572_3,027_A180001572_3,2022-12-01T00:00:00.000+0000,2022-12-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,56,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,75,USD,BBL,2022-12-01T00:00:00.000+0000,2022-12-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-940000,USD,-940000,USD,2023-01-13T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:25.000+0000,2018-02-08T03:48:35.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214126,175054631,1,A180001673_1,027_A180001673_1,2022-07-01T00:00:00.000+0000,2022-07-29T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,55,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,78,USD,BBL,2022-07-01T00:00:00.000+0000,2022-07-29T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1120450,USD,-1120450,USD,2022-08-15T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:17:13.000+0000,2018-02-12T03:58:46.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214129,175054631,2,A180001673_2,027_A180001673_2,2022-08-01T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,55,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,77,USD,BBL,2022-08-01T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1088150,USD,-1088150,USD,2022-09-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:58.000+0000,2018-02-12T03:58:46.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214132,175054631,3,A180001673_3,027_A180001673_3,2022-09-01T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,55,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,77,USD,BBL,2022-09-01T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1056600,USD,-1056600,USD,2022-10-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:56.000+0000,2018-02-12T03:58:46.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214134,175054632,1,A180001674_1,027_A180001674_1,2022-07-01T00:00:00.000+0000,2022-07-29T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,55,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,78,USD,BBL,2022-07-01T00:00:00.000+0000,2022-07-29T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1130450,USD,-1130450,USD,2022-08-15T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:15:54.000+0000,2018-02-12T03:58:46.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214136,175054632,2,A180001674_2,027_A180001674_2,2022-08-01T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,55,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,77,USD,BBL,2022-08-01T00:00:00.000+0000,2022-08-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1098150,USD,-1098150,USD,2022-09-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:35.000+0000,2018-02-12T03:58:46.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214138,175054632,3,A180001674_3,027_A180001674_3,2022-09-01T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,55,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,77,USD,BBL,2022-09-01T00:00:00.000+0000,2022-09-30T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1066600,USD,-1066600,USD,2022-10-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:04.000+0000,2018-02-12T03:58:46.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214141,175054633,1,A180001675_1,027_A180001675_1,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,55,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,80,USD,BBL,2022-04-01T00:00:00.000+0000,2022-04-29T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1221750,USD,-1221750,USD,2022-05-13T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:10.000+0000,2018-02-12T03:58:46.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
491214144,175054633,2,A180001675_2,027_A180001675_2,2022-05-02T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,2021-10-19T23:20:08.000+0000,-1,S,100535,null,null,-2,Y,N,N,1571,N,1010003061000071,null,55,BBL,USD,null,null,NEW YORK,1011000056955114,A,null,null,14,S,027,C,null,027,FIXED,null,79,USD,BBL,2022-05-02T00:00:00.000+0000,2022-05-31T00:00:00.000+0000,null,FLOAT,50000,BBL,50000,BBL,-1187000,USD,-1187000,USD,2022-06-14T00:00:00.000+0000,null,null,Y,null,null,1010003003000190,2021-10-19T21:16:53.000+0000,2018-02-12T03:58:46.000+0000,2019-11-03T22:09:57.000+0000,m_TCT_CDS_DEAL_LEGS,m_TCT_CDS_DEAL_LEG,N,null,null,<priceset><priceline><pricingLineNumber>1</pricingLineNumber><seriesDefinition>CL.E.70062</seriesDefinition><percentageWeight>100.0</percentageWeight><rollEarlyOrExclude>1</rollEarlyOrExclude></priceline></priceset>,2
